,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
181,09.08.2017,D,W,L,D,L,W,L,L,L,L,L,L,L,W,W,L,D,L,W,L,L,W,D
182,10.08.2017,L,W,L,W,W,L,W,W,L,W,W,W,D,W,W,W,W,W,W,L,W,L,W
183,11.08.2017,L,D,W,L,L,W,W,D,L,L,D,L,D,D,D,L,W,D,L,L,L,D,L
185,14.08.2017,L,W,D,W,L,D,W,W,W,W,W,L,L,D,D,W,L,L,D,W,W,W,W
186,15.08.2017,D,L,W,D,L,W,W,W,W,W,L,L,D,W,D,L,D,W,W,W,W,L,L
187,16.08.2017,W,W,L,W,W,W,L,W,W,W,L,L,D,L,D,W,W,W,L,W,L,W,L
188,17.08.2017,D,L,W,D,L,W,L,D,W,W,L,L,W,L,W,L,L,W,W,L,L,L,L
189,18.08.2017,D,L,L,D,L,L,W,W,D,D,W,L,D,L,D,W,W,L,W,L,W,D,W
191,21.08.2017,W,W,L,W,L,W,W,L,L,L,W,W,L,L,D,L,L,D,L,L,L,L,D
192,22.08.2017,W,W,L,D,L,L,W,L,L,W,W,W,W,W,L,W,W,W,L,W,L,D,D
193,23.08.2017,D,L,L,D,W,L,L,D,W,W,W,L,W,L,D,W,W,L,L,W,D,W,D
194,24.08.2017,D,W,W,L,L,W,L,L,L,L,L,W,L,W,W,L,L,L,W,W,L,W,L
195,25.08.2017,D,L,D,D,D,L,L,L,D,L,W,W,W,W,D,W,D,L,L,D,W,W,D
197,28.08.2017,L,D,D,L,D,L,W,W,L,W,D,W,W,D,L,W,W,D,D,W,W,L,W
198,29.08.2017,L,W,W,L,L,W,L,L,W,L,L,L,D,W,D,L,W,W,W,W,W,W,W
199,30.08.2017,D,W,L,L,L,W,W,W,L,W,L,W,L,W,D,W,W,W,L,L,W,W,W
200,31.08.2017,W,L,W,W,W,L,L,W,L,W,D,D,D,D,L,W,L,L,L,L,L,W,W
201,01.09.2017,L,L,L,L,L,L,L,L,L,L,L,D,L,D,D,D,D,L,L,L,L,D,D
203,04.09.2017,L,W,W,L,L,L,L,W,W,W,W,W,W,L,L,W,D,W,L,W,W,W,W
204,05.09.2017,L,L,L,D,W,W,L,L,L,W,L,L,L,L,L,L,L,W,W,W,W,L,W
205,06.09.2017,L,W,W,D,W,L,L,L,W,W,L,L,W,W,L,L,L,L,L,W,W,W,W
206,07.09.2017,L,L,L,D,L,W,L,W,W,L,L,W,D,L,W,W,W,W,W,W,W,W,W
207,08.09.2017,W,D,L,D,L,L,W,D,W,L,D,L,L,W,L,L,L,D,D,W,W,L,D
209,11.09.2017,L,D,L,L,L,W,L,L,D,L,D,L,L,L,D,W,W,W,W,D,D,W,D
210,12.09.2017,D,W,W,W,W,L,L,L,W,W,W,W,L,L,W,L,L,W,L,L,L,L,L
211,13.09.2017,W,L,L,D,W,L,W,L,W,L,L,L,W,W,D,W,L,W,W,L,W,L,W
212,14.09.2017,D,W,W,D,L,W,L,W,D,W,W,W,L,L,W,L,W,L,L,W,W,W,W
213,15.09.2017,D,L,L,W,L,D,W,L,L,L,L,L,W,D,W,L,L,L,W,L,W,W,L
